Time,Wash Filtrate to Digester - Total Flow,Wash Filtrate Vertical Nozzle,White Liquor Flow to ITC,H-factor,H-factor Co-Current,H-factor Target,H-factor Counter-Current,Volumetric Chip Flow,Chip Mass Flow from Piles,Spruce Saw Mill Chips Share,Spruce Roundwood Chip Share,Pine Roundwood Chip Share,White Liquor Dosage to Top Circulation,White Liquor Dosage to ITC-circulation,Digester White Liquor Dosage,White Liquor Total Dosage,White Liquor Temperature,White Liquor Flow to Top Circulation,White Liquor Flow to Digester Top,White Liquor Flow to Digester Plant,White Liquor Flow to High Pressure Feeder,Chip Feeding Screw Speed,Digester Chip Level Bottom Sensor,Digester Chip Level Middle Sensor,Digester Chip Level Top Sensor,Digester Steam Space Temperature,Digester Pressure Control,Hot Spent Digester Liquor Specific Flow to Impregnation Vessel,Digester Production,Digester Long Level,Digester Chip Level Control,Digester Dilution Factor,Digester Short Level,Blow Kappa,Blow Temperature,Blow Production,Weak Black Liquor to Evaporation Plant Residual Alkali
2018-11-17 09:00:00,134.5548,121.1072,0.768673,653.9405,350.7885,640.0,303.152,647.577,32.94605,0.0,0.0,99.9837,4.924531,0.400424,17.40563,22.01422,126.5993,9.307031,33.49241,42.1674,4.009718,36.12557,21.78839,22.04819,0.0,147.9677,0.345819,2.700001,1053.104,88.44597,20.65307,2.109347,47.4769,27.97767,82.25857,1084.334,9.08
2018-11-17 09:10:00,133.3203,120.1999,0.769373,643.8816,346.3024,640.0,297.5791,628.7622,33.20343,0.0,0.0,100.2624,4.817891,0.400743,17.47385,22.02135,126.7953,9.268006,33.62512,42.28871,3.969673,36.15935,21.6492,23.1097,0.0,147.8207,0.344651,2.699999,1052.86,88.50398,17.24779,2.077936,47.61571,27.8057,82.32928,1081.732,9.08
2018-11-17 09:20:00,134.9816,121.4686,0.768673,647.2827,344.5247,640.0,302.758,700.142,36.40517,0.0,0.0,99.84124,4.71633,0.399318,17.45442,21.8664,127.1534,9.026023,33.51213,41.92712,4.104461,36.12715,22.03185,20.03978,0.0,147.7707,0.344688,2.7,1052.93,88.60962,21.74003,2.14242,47.76262,27.72903,82.37888,1084.354,9.08
2018-11-17 09:30:00,133.6138,120.2966,0.768292,651.983,344.1931,640.0,307.7899,683.4452,35.7779,0.0,0.0,100.0182,4.942246,0.399408,17.42589,22.04175,127.3732,9.144601,33.4967,42.2967,3.922932,36.12529,22.01779,20.73045,0.0,147.7555,0.345308,2.699999,1052.91,88.66916,18.56018,2.09297,48.03742,27.36158,82.46533,1076.779,9.08
2018-11-17 09:40:00,136.1508,122.4202,0.768667,635.5258,347.4241,640.0,288.1018,660.5474,34.19568,0.0,0.0,99.81231,4.826216,0.399996,17.40938,21.94706,127.6283,9.420252,33.47847,42.1066,4.038093,36.13057,23.61397,21.78584,0.0,147.8707,0.345057,2.700001,1053.027,88.63741,26.18485,2.077477,47.93541,27.26488,82.47566,1099.049,9.08
2018-11-17 09:50:00,135.4795,121.9686,0.770199,652.85,346.04,640.0,306.8101,635.2752,31.56754,0.0,0.0,99.77222,4.684222,0.401234,17.40082,21.89322,127.8292,9.146714,33.38453,42.05739,3.946628,36.15518,23.26522,22.38632,0.0,147.815,0.344669,2.7,1052.863,88.65725,23.44285,2.109445,48.14211,27.22428,82.53199,1091.438,9.08
2018-11-17 10:00:00,134.8202,121.4831,0.767529,658.5166,348.3322,640.0,310.1844,578.1154,28.93052,0.0,0.0,100.3704,4.525487,0.400659,17.34722,21.61047,128.0511,8.760682,33.28219,41.52718,4.007176,36.13774,20.53117,23.27036,0.0,147.8888,0.34476,2.7,1052.674,88.63479,20.08227,2.095061,48.25771,27.19607,82.68066,1088.588,9.08
2018-11-17 10:10:00,135.1798,121.3398,0.766384,665.3085,348.4596,640.0,316.8488,573.3465,28.21299,0.0,0.0,99.91514,4.6637,0.399054,17.38403,21.73858,128.1288,8.861874,33.32298,41.66886,4.00378,36.13438,24.28247,26.01225,0.0,147.8957,0.34357,2.700001,1053.099,88.54194,22.89787,2.097132,48.1153,27.18486,82.79723,1088.165,9.08
2018-11-17 10:20:00,136.057,122.5762,0.767185,629.9953,340.6165,640.0,289.3788,593.8332,30.61296,0.0,0.0,100.1147,4.494722,0.399982,17.34256,21.54188,128.2647,8.720125,33.24376,41.36705,3.998474,36.15961,20.5596,22.19183,0.0,147.6528,0.34329,2.7,1052.66,88.50296,20.0434,2.102982,47.86751,27.15742,82.74697,1088.639,9.08
2018-11-17 10:30:00,134.1397,120.8624,0.764858,635.2222,340.6926,640.0,294.5296,610.6243,31.41731,0.0,0.0,100.0656,4.477919,0.399883,17.34662,21.54644,128.3291,8.602483,33.2415,41.2732,3.997063,36.14504,19.71159,24.48321,0.0,147.6291,0.343075,2.7,1052.779,88.41051,11.98513,2.089569,47.42722,26.59038,82.76515,1073.161,9.08
